id,conductor_id,placa,marca,modelo,anio,color,capacidad,tipo_servicio
94,94,F6J-750,Toyota,Rav4,2025,plata,7,economico
95,95,F8B-604,Hyundai,Elantra,2015,plata,4,estandar
96,96,F7J-562,Toyota,Yaris,2023,gris,4,estandar
97,97,G1F-195,Kia,Cerato,2018,azul,4,confort
98,98,D8G-672,Hyundai,Elantra,2015,azul,5,xl
99,99,H7A-109,Nissan,Sentra,2018,negro,4,confort
100,100,H4B-754,Chevrolet,Onix,2026,negro,4,estandar
101,101,C5G-866,Hyundai,Tucson,2025,plata,4,xl
102,102,F2A-409,Kia,Sportage,2018,azul,4,confort
103,103,D2J-194,Nissan,Sentra,2020,blanco,4,confort
104,104,H1H-708,Hyundai,Tucson,2019,azul,4,xl
105,105,B2B-152,Nissan,Sentra,2023,plata,5,confort
106,106,F5F-528,Nissan,Sentra,2021,negro,7,xl
107,107,C7D-403,Hyundai,Tucson,2019,gris,4,estandar
108,108,A9E-801,Chevrolet,Onix,2022,gris,5,economico
109,109,G3G-169,Nissan,Versa,2022,negro,5,xl
110,110,H8H-549,Toyota,Rav4,2019,plata,4,estandar
111,111,G3G-328,Chevrolet,Onix,2021,azul,4,xl
112,112,B1H-877,Toyota,Yaris,2019,blanco,4,xl
113,113,C1G-652,Hyundai,Tucson,2016,gris,4,estandar
114,114,D4A-906,Hyundai,Accent,2017,azul,7,estandar
115,115,E7A-906,Kia,Cerato,2025,blanco,5,confort
116,116,A7F-770,Hyundai,Accent,2017,gris,5,xl
117,117,C5B-239,Kia,Sportage,2019,negro,5,economico
118,118,G5E-643,Toyota,Rav4,2019,gris,7,xl
119,119,D2B-692,Kia,Sportage,2026,azul,4,confort
120,120,F6E-246,Hyundai,Tucson,2026,blanco,4,estandar
121,121,G5C-473,Nissan,Sentra,2026,blanco,5,xl
122,122,J8J-506,Chevrolet,Sail,2024,negro,4,estandar
123,123,C3B-355,Chevrolet,Sail,2021,blanco,4,confort
124,124,G7D-706,Chevrolet,Tracker,2024,negro,7,xl
125,125,J8C-631,Chevrolet,Onix,2017,rojo,4,confort
126,126,E6G-277,Hyundai,Tucson,2015,plata,7,xl
127,127,E2G-108,Kia,Rio,2017,negro,7,economico
128,128,A1F-180,Nissan,Kicks,2014,negro,7,xl
129,129,F2C-121,Kia,Rio,2024,negro,4,economico
130,130,F5F-378,Nissan,Versa,2020,gris,7,xl
131,131,C2A-989,Chevrolet,Onix,2020,plata,4,xl
132,132,A2F-275,Kia,Cerato,2024,rojo,7,xl
133,133,E3A-335,Kia,Sportage,2020,blanco,5,confort
134,134,J4D-113,Kia,Sportage,2019,azul,5,estandar
135,135,J4G-647,Hyundai,Tucson,2024,blanco,5,economico
136,136,E6H-708,Toyota,Yaris,2017,negro,5,xl
137,137,E9F-612,Toyota,Rav4,2015,azul,5,economico
138,138,F1B-679,Toyota,Corolla,2021,azul,5,estandar
139,139,C6B-685,Toyota,Yaris,2014,blanco,7,estandar
140,140,F3D-332,Chevrolet,Tracker,2016,azul,5,economico
141,141,D8F-617,Kia,Rio,2023,blanco,4,confort
142,142,B2G-962,Kia,Rio,2026,azul,5,economico
143,143,C1H-442,Kia,Cerato,2018,rojo,4,confort
144,144,E9H-946,Hyundai,Accent,2023,plata,4,xl
145,145,F2J-658,Hyundai,Accent,2025,blanco,4,confort
146,146,H8D-877,Chevrolet,Tracker,2020,rojo,5,xl
147,147,E5D-750,Hyundai,Elantra,2017,rojo,4,confort
148,148,H9H-268,Chevrolet,Tracker,2020,gris,5,economico
149,149,G5D-630,Kia,Sportage,2024,blanco,4,economico
150,150,E9A-756,Hyundai,Elantra,2016,gris,5,xl
151,151,A1E-109,Toyota,Rav4,2015,plata,4,xl
152,152,H7C-394,Hyundai,Accent,2020,plata,4,estandar
153,153,E3A-326,Kia,Cerato,2026,azul,4,economico
154,154,B5A-202,Chevrolet,Tracker,2019,negro,5,estandar
155,155,B8C-939,Toyota,Yaris,2020,gris,4,confort
156,156,F7A-999,Nissan,Versa,2024,blanco,7,confort
157,157,D4F-725,Hyundai,Tucson,2025,gris,5,confort
158,158,C9D-954,Hyundai,Tucson,2026,gris,7,xl
159,159,H8B-461,Nissan,Versa,2023,blanco,4,estandar
160,160,C5H-846,Nissan,Versa,2020,gris,4,economico
161,161,C1A-820,Hyundai,Tucson,2014,plata,4,xl
162,162,B5E-249,Nissan,Sentra,2022,plata,4,confort
163,163,E1E-280,Kia,Sportage,2017,blanco,5,xl
164,164,C1G-553,Chevrolet,Onix,2026,gris,7,estandar
165,165,D5D-800,Chevrolet,Tracker,2020,azul,4,confort
166,166,D3F-278,Kia,Sportage,2021,azul,4,confort
167,167,D4J-200,Nissan,Versa,2017,blanco,5,estandar
168,168,F4D-151,Kia,Rio,2017,plata,4,economico
169,169,C5H-359,Hyundai,Accent,2024,azul,7,confort
170,170,H3A-347,Hyundai,Accent,2019,blanco,4,economico
171,171,A3D-941,Nissan,Versa,2019,blanco,4,xl
172,172,F6F-647,Toyota,Corolla,2014,azul,4,economico
173,173,C3E-449,Kia,Cerato,2018,blanco,4,estandar
174,174,F2C-428,Kia,Rio,2022,blanco,5,economico
175,175,B4F-121,Chevrolet,Onix,2025,rojo,4,confort
176,176,E2H-212,Chevrolet,Onix,2025,plata,4,confort
177,177,B7G-916,Nissan,Versa,2016,azul,4,confort
178,178,D1G-223,Nissan,Kicks,2020,negro,4,confort
179,179,D6C-109,Nissan,Versa,2021,plata,4,confort
180,180,E3A-421,Toyota,Rav4,2022,rojo,5,confort
181,181,H8B-413,Nissan,Versa,2024,negro,5,economico
182,182,A1B-145,Chevrolet,Sail,2018,plata,4,economico
183,183,C8J-637,Hyundai,Tucson,2022,blanco,7,estandar
184,184,E7B-495,Toyota,Yaris,2022,azul,4,xl
185,185,H9F-190,Chevrolet,Tracker,2024,gris,5,economico
186,186,A7F-509,Kia,Sportage,2022,negro,5,xl
187,187,J1A-590,Hyundai,Accent,2025,plata,4,economico
188,188,B5H-258,Chevrolet,Tracker,2017,plata,4,confort
189,189,E1H-628,Nissan,Versa,2025,rojo,4,estandar
190,190,G8J-878,Toyota,Rav4,2023,rojo,7,confort
191,191,E6E-722,Toyota,Rav4,2017,plata,5,economico
192,192,G8E-677,Kia,Rio,2020,plata,7,xl
193,193,F2J-445,Nissan,Sentra,2015,blanco,5,confort
194,194,G1F-784,Kia,Sportage,2026,gris,5,estandar
195,195,D2J-149,Kia,Sportage,2024,plata,4,estandar
196,196,A3F-641,Toyota,Corolla,2020,gris,4,estandar
197,197,H8D-118,Nissan,Kicks,2017,blanco,5,xl
198,198,H2C-959,Chevrolet,Onix,2015,gris,4,xl
199,199,A2C-368,Hyundai,Tucson,2014,negro,4,confort
200,200,F1A-450,Kia,Cerato,2023,blanco,7,economico
201,201,J4H-511,Chevrolet,Tracker,2021,negro,7,xl
202,202,E7B-501,Hyundai,Accent,2014,negro,4,estandar
203,203,D1A-130,Chevrolet,Tracker,2015,gris,4,confort
204,204,E4A-603,Hyundai,Tucson,2025,gris,4,xl
205,205,G6E-523,Chevrolet,Onix,2016,azul,7,xl
206,206,F2J-720,Hyundai,Elantra,2016,negro,4,estandar
207,207,F7A-104,Nissan,Versa,2016,negro,4,estandar
208,208,E1F-491,Hyundai,Tucson,2021,plata,4,estandar
209,209,B6J-677,Kia,Sportage,2014,gris,4,estandar
210,210,A6B-522,Chevrolet,Onix,2020,blanco,7,economico
211,211,D3H-639,Hyundai,Tucson,2018,gris,5,economico
212,212,J7D-526,Chevrolet,Sail,2019,negro,5,xl
213,213,F9E-410,Chevrolet,Onix,2016,blanco,4,estandar
214,214,J3E-649,Kia,Sportage,2020,negro,4,estandar
215,215,D8B-407,Nissan,Sentra,2014,negro,4,economico
216,216,A3G-795,Chevrolet,Onix,2024,azul,4,confort
217,217,D7A-492,Toyota,Yaris,2014,gris,5,economico
218,218,B2C-851,Chevrolet,Onix,2020,rojo,7,estandar
219,219,H7J-665,Kia,Sportage,2026,negro,4,economico
220,220,D5B-387,Toyota,Yaris,2017,blanco,7,economico
221,221,J2E-109,Toyota,Corolla,2015,rojo,4,estandar
222,222,B8A-417,Kia,Cerato,2021,blanco,7,confort
223,223,A5A-926,Nissan,Sentra,2021,blanco,4,xl
224,224,D2A-302,Chevrolet,Sail,2018,gris,5,confort
225,225,H3C-568,Kia,Cerato,2024,plata,7,confort
226,226,H5A-327,Toyota,Yaris,2021,gris,4,xl
227,227,D4B-825,Toyota,Yaris,2020,rojo,7,confort
228,228,C7E-172,Toyota,Yaris,2020,blanco,4,estandar
229,229,H6D-166,Nissan,Kicks,2024,azul,4,confort
230,230,G4B-801,Nissan,Versa,2015,blanco,7,xl
231,231,E7B-269,Kia,Cerato,2017,plata,4,xl
232,232,A1E-551,Kia,Cerato,2022,plata,5,confort
233,233,G9E-620,Chevrolet,Onix,2022,blanco,5,economico
234,234,G2A-154,Hyundai,Elantra,2026,plata,4,economico
235,235,H4H-420,Nissan,Kicks,2018,azul,4,estandar
236,236,H9B-213,Toyota,Yaris,2021,blanco,7,xl
237,237,A5A-274,Toyota,Yaris,2018,gris,4,economico
238,238,F7H-386,Kia,Rio,2017,negro,7,confort
239,239,G6F-265,Chevrolet,Sail,2023,blanco,5,economico
240,240,D6D-101,Hyundai,Accent,2018,azul,7,estandar
241,241,G6D-836,Nissan,Sentra,2025,blanco,7,xl
242,242,D2H-321,Nissan,Kicks,2018,plata,4,confort
243,243,H3D-911,Chevrolet,Tracker,2026,azul,4,xl
244,244,D3H-774,Kia,Cerato,2022,plata,4,confort
245,245,D5D-910,Toyota,Yaris,2026,plata,7,xl
246,246,A7A-474,Nissan,Sentra,2022,rojo,4,xl
247,247,F8C-221,Hyundai,Tucson,2015,plata,4,confort
248,248,G9D-997,Toyota,Corolla,2026,gris,5,confort
249,249,D9H-115,Nissan,Versa,2018,rojo,4,confort
250,250,A4D-356,Nissan,Kicks,2016,plata,4,xl
251,251,C6F-229,Nissan,Kicks,2024,blanco,4,economico
252,252,C7A-107,Chevrolet,Sail,2024,blanco,4,economico
253,253,F7B-525,Toyota,Yaris,2023,plata,4,confort
254,254,J2C-189,Kia,Rio,2014,blanco,7,estandar
255,255,J5G-952,Hyundai,Tucson,2023,blanco,7,xl
256,256,C4D-175,Nissan,Versa,2018,rojo,4,economico
257,257,H4G-976,Nissan,Sentra,2019,rojo,5,economico
258,258,C3B-890,Chevrolet,Tracker,2022,negro,4,economico
259,259,D2J-844,Nissan,Sentra,2018,blanco,5,xl
260,260,D1C-294,Toyota,Corolla,2018,blanco,5,estandar
261,261,J4F-740,Nissan,Kicks,2023,blanco,5,xl
262,262,E1D-250,Nissan,Versa,2026,azul,4,estandar
263,263,F3J-252,Hyundai,Tucson,2026,plata,5,economico
264,264,G4H-697,Hyundai,Elantra,2023,azul,7,confort
265,265,C6C-729,Hyundai,Elantra,2026,gris,4,confort
266,266,E4G-885,Chevrolet,Tracker,2025,azul,5,economico
267,267,B5D-326,Toyota,Yaris,2020,gris,4,economico
268,268,J8H-187,Kia,Cerato,2019,rojo,4,economico
269,269,C8J-590,Nissan,Kicks,2014,negro,4,economico
270,270,A5G-341,Hyundai,Elantra,2016,blanco,5,estandar
271,271,G1D-249,Nissan,Versa,2019,azul,4,economico
272,272,A3F-452,Chevrolet,Tracker,2023,azul,7,xl
273,273,D8D-716,Nissan,Sentra,2021,azul,4,confort
274,274,C5H-375,Toyota,Rav4,2015,blanco,4,xl
275,275,G8A-323,Hyundai,Tucson,2022,plata,4,confort
276,276,H7B-205,Nissan,Versa,2019,azul,4,estandar
277,277,D1A-656,Hyundai,Accent,2019,plata,4,economico
278,278,C3E-752,Chevrolet,Tracker,2016,azul,5,estandar
279,279,B1H-799,Hyundai,Tucson,2022,azul,4,economico
280,280,H4G-461,Hyundai,Elantra,2022,gris,4,estandar
281,281,H3A-165,Toyota,Rav4,2021,blanco,7,confort
282,282,J8E-949,Hyundai,Tucson,2015,plata,4,xl
283,283,G4G-434,Chevrolet,Sail,2016,azul,4,confort
284,284,B1A-472,Kia,Rio,2014,azul,4,confort
285,285,E3C-539,Chevrolet,Sail,2017,rojo,4,economico
286,286,G1H-237,Hyundai,Accent,2017,gris,4,estandar
287,287,D1D-785,Chevrolet,Onix,2024,negro,4,estandar
288,288,F4B-545,Nissan,Kicks,2016,azul,4,economico
289,289,G4B-532,Nissan,Sentra,2023,plata,7,xl
290,290,A4D-978,Kia,Rio,2018,gris,4,confort
291,291,A7B-546,Toyota,Corolla,2018,azul,5,economico
292,292,J5E-907,Toyota,Rav4,2019,azul,4,economico
293,293,B8G-406,Kia,Rio,2023,plata,4,economico
294,294,C5B-221,Chevrolet,Onix,2014,gris,4,xl
295,295,G2D-225,Chevrolet,Onix,2016,rojo,4,confort
296,296,D3C-776,Hyundai,Tucson,2014,gris,7,estandar
297,297,H5D-458,Nissan,Sentra,2025,blanco,4,xl
298,298,C6D-710,Nissan,Sentra,2014,blanco,4,economico
299,299,C6F-618,Kia,Sportage,2020,negro,5,xl
300,300,J9C-511,Chevrolet,Sail,2017,blanco,5,confort
301,301,A4A-360,Chevrolet,Onix,2026,azul,7,economico
302,302,H2J-542,Chevrolet,Sail,2026,gris,4,estandar
303,303,D6F-808,Chevrolet,Onix,2024,rojo,4,estandar
304,304,F6G-553,Toyota,Corolla,2021,plata,7,economico
305,305,D8J-328,Toyota,Yaris,2025,gris,4,xl
306,306,C8E-432,Nissan,Kicks,2015,blanco,5,economico
307,307,F9H-139,Chevrolet,Sail,2019,rojo,4,estandar
308,308,D4G-826,Toyota,Rav4,2023,plata,4,economico
309,309,D5H-543,Chevrolet,Tracker,2025,blanco,4,estandar
310,310,H5G-208,Toyota,Rav4,2015,rojo,4,xl
311,311,C8B-748,Chevrolet,Onix,2025,plata,4,estandar
312,312,J8J-631,Hyundai,Tucson,2019,negro,7,confort
313,313,J7J-767,Chevrolet,Sail,2022,gris,4,xl
314,314,D1A-760,Nissan,Versa,2021,negro,5,confort
315,315,E5F-573,Chevrolet,Tracker,2024,rojo,4,confort
316,316,B1H-512,Kia,Sportage,2016,rojo,5,estandar
317,317,F5D-404,Nissan,Sentra,2019,azul,4,xl
318,318,E4F-693,Toyota,Rav4,2022,negro,7,confort
319,319,A8G-472,Chevrolet,Tracker,2019,plata,7,estandar
320,320,F7J-173,Nissan,Sentra,2021,azul,4,estandar
321,321,A8D-158,Kia,Cerato,2024,rojo,4,xl
322,322,G2D-423,Nissan,Kicks,2014,rojo,4,xl
323,323,J4G-697,Chevrolet,Sail,2016,negro,4,confort
324,324,A4D-518,Kia,Sportage,2023,azul,4,estandar
325,325,F1C-329,Chevrolet,Sail,2026,negro,5,confort
326,326,C8D-421,Hyundai,Tucson,2024,rojo,4,economico
327,327,H3E-708,Kia,Sportage,2014,negro,4,estandar
328,328,E8H-176,Hyundai,Elantra,2020,azul,4,economico
329,329,D6F-476,Chevrolet,Onix,2025,plata,4,estandar
330,330,A7B-581,Toyota,Corolla,2015,negro,5,confort
331,331,F5H-918,Kia,Cerato,2015,negro,4,estandar
332,332,B3H-793,Chevrolet,Tracker,2026,blanco,5,confort
333,333,H7B-257,Toyota,Yaris,2016,azul,4,economico
334,334,G5E-529,Kia,Sportage,2025,gris,4,economico
335,335,F6F-930,Kia,Cerato,2023,gris,4,estandar
336,336,D6G-106,Nissan,Sentra,2021,plata,7,confort
337,337,D3H-519,Hyundai,Accent,2023,rojo,7,economico
338,338,G1A-632,Kia,Rio,2025,rojo,4,xl
339,339,G3G-676,Chevrolet,Sail,2016,rojo,4,estandar
340,340,H6F-792,Toyota,Yaris,2020,blanco,5,economico
341,341,H1B-448,Nissan,Kicks,2015,negro,4,economico
342,342,D5E-726,Hyundai,Accent,2021,plata,7,xl
343,343,B7C-845,Hyundai,Accent,2022,rojo,4,estandar
344,344,B3G-901,Hyundai,Tucson,2023,negro,4,economico
345,345,D1H-187,Kia,Rio,2016,plata,4,economico
346,346,C3J-338,Chevrolet,Tracker,2021,plata,4,estandar
347,347,A6E-735,Nissan,Kicks,2019,plata,7,xl
348,348,J3A-509,Hyundai,Accent,2016,negro,7,economico
349,349,C7J-154,Toyota,Corolla,2018,plata,5,confort
350,350,F3E-602,Chevrolet,Onix,2014,azul,5,economico
351,351,E8C-811,Nissan,Kicks,2018,gris,4,confort
352,352,D8J-576,Nissan,Kicks,2018,plata,5,confort
353,353,H1E-526,Toyota,Corolla,2021,plata,5,economico
354,354,B3J-612,Nissan,Kicks,2021,negro,7,confort
355,355,G9A-914,Hyundai,Tucson,2016,azul,4,xl
356,356,G5B-548,Toyota,Yaris,2014,gris,4,xl
357,357,J7A-442,Toyota,Corolla,2025,rojo,5,economico
358,358,B7G-412,Hyundai,Elantra,2023,gris,4,estandar
359,359,J4B-278,Nissan,Sentra,2016,azul,4,estandar
360,360,E2G-910,Kia,Rio,2015,azul,7,economico
361,361,J5J-120,Chevrolet,Tracker,2021,blanco,4,xl
362,362,J7H-993,Toyota,Yaris,2019,negro,4,xl
363,363,B1H-946,Nissan,Sentra,2014,gris,4,estandar
364,364,J6H-711,Nissan,Sentra,2021,rojo,4,confort
365,365,B1F-168,Nissan,Versa,2014,azul,4,economico
366,366,A2H-668,Nissan,Kicks,2019,blanco,4,economico
367,367,A3F-781,Kia,Cerato,2023,plata,4,estandar
368,368,C1B-112,Chevrolet,Tracker,2016,azul,5,confort
369,369,H5H-790,Chevrolet,Tracker,2024,rojo,4,estandar
370,370,G6H-866,Chevrolet,Onix,2018,negro,4,estandar
371,371,E3A-388,Nissan,Versa,2020,gris,4,confort
372,372,H5A-912,Hyundai,Tucson,2019,blanco,4,estandar
373,373,D8G-915,Nissan,Sentra,2025,azul,7,xl
374,374,J2G-885,Nissan,Versa,2022,gris,4,xl
375,375,H5A-919,Toyota,Corolla,2022,gris,7,xl
376,376,J2E-379,Chevrolet,Tracker,2023,blanco,7,economico
377,377,F9G-275,Hyundai,Elantra,2025,blanco,4,xl
378,378,E6A-678,Kia,Sportage,2023,azul,5,estandar
379,379,E6D-424,Hyundai,Accent,2021,rojo,7,economico
380,380,B2A-817,Toyota,Rav4,2019,rojo,4,confort
381,381,G9J-784,Nissan,Kicks,2019,azul,4,estandar
382,382,D6G-220,Toyota,Rav4,2024,negro,4,xl
383,383,E9A-998,Hyundai,Accent,2016,negro,5,confort
384,384,F8C-108,Hyundai,Elantra,2019,gris,7,estandar
385,385,J8J-985,Chevrolet,Sail,2025,azul,4,economico
386,386,H5J-386,Kia,Cerato,2018,plata,4,confort
387,387,D8B-593,Hyundai,Tucson,2022,gris,5,estandar
388,388,E7B-569,Toyota,Yaris,2021,gris,7,economico
389,389,F3C-533,Kia,Cerato,2020,azul,7,xl
390,390,J9H-581,Chevrolet,Onix,2018,gris,4,confort
391,391,E2D-384,Nissan,Versa,2015,azul,4,estandar
392,392,A6G-286,Nissan,Kicks,2021,gris,4,estandar
393,393,G4J-717,Kia,Rio,2015,negro,4,confort
394,394,H4G-836,Kia,Sportage,2019,plata,4,economico
395,395,G9G-239,Kia,Sportage,2016,rojo,4,economico
396,396,A7F-728,Nissan,Sentra,2022,blanco,4,estandar
397,397,G1C-823,Toyota,Yaris,2021,rojo,4,estandar
398,398,A4H-791,Hyundai,Accent,2026,rojo,5,economico
399,399,G3E-405,Chevrolet,Onix,2019,plata,4,economico
400,400,C2D-656,Toyota,Rav4,2014,plata,7,estandar
401,401,H9A-504,Chevrolet,Onix,2015,gris,4,confort
402,402,J6J-510,Chevrolet,Onix,2017,gris,5,confort
403,403,B9A-269,Kia,Sportage,2022,rojo,7,estandar
404,404,C2C-778,Kia,Sportage,2025,azul,5,xl
405,405,A6E-499,Chevrolet,Tracker,2025,azul,7,confort
406,406,J9C-809,Hyundai,Tucson,2018,plata,4,confort
407,407,A4B-785,Hyundai,Accent,2024,negro,7,xl
408,408,C4C-117,Toyota,Yaris,2020,plata,7,xl
409,409,C8H-658,Kia,Cerato,2016,plata,7,confort
410,410,H3J-573,Hyundai,Tucson,2020,blanco,4,estandar
411,411,J8H-674,Toyota,Yaris,2018,plata,4,economico
412,412,C9D-943,Nissan,Versa,2018,rojo,4,confort
413,413,D6G-277,Nissan,Versa,2024,negro,5,xl
414,414,A5F-318,Toyota,Corolla,2022,gris,7,xl
415,415,A3H-325,Hyundai,Tucson,2024,rojo,4,estandar
416,416,F8A-419,Chevrolet,Tracker,2016,gris,4,estandar
417,417,F6E-520,Kia,Sportage,2023,rojo,4,xl
418,418,A5B-206,Nissan,Sentra,2021,azul,7,economico
419,419,G5G-990,Kia,Sportage,2021,negro,7,xl
420,420,G1E-385,Kia,Sportage,2024,gris,5,xl
421,421,D3C-738,Hyundai,Accent,2025,negro,4,confort
422,422,J8H-129,Kia,Rio,2024,plata,4,estandar
423,423,E6E-263,Chevrolet,Onix,2018,blanco,5,xl
424,424,J6D-160,Toyota,Yaris,2016,rojo,4,estandar
425,425,J1B-347,Hyundai,Tucson,2022,plata,4,xl
426,426,J4D-464,Hyundai,Elantra,2022,azul,4,confort
427,427,B1J-789,Chevrolet,Sail,2015,gris,4,estandar
428,428,E4F-513,Nissan,Sentra,2014,negro,5,xl
429,429,J8B-426,Hyundai,Elantra,2019,azul,5,confort
430,430,E6H-448,Nissan,Kicks,2019,azul,7,confort
431,431,A6F-764,Kia,Rio,2025,rojo,5,estandar
432,432,B8B-407,Chevrolet,Tracker,2019,gris,4,estandar
433,433,F3F-234,Chevrolet,Tracker,2024,gris,4,economico
434,434,J9C-893,Nissan,Versa,2020,rojo,4,economico
435,435,C2E-952,Toyota,Corolla,2021,gris,4,confort
436,436,A4A-908,Hyundai,Tucson,2016,plata,5,confort
437,437,D1J-848,Nissan,Kicks,2016,gris,4,estandar
438,438,D3B-904,Kia,Rio,2025,gris,4,economico
439,439,D7D-396,Hyundai,Tucson,2026,blanco,7,confort
440,440,C2J-139,Toyota,Corolla,2025,rojo,4,confort
